,1064,1067,Date
0,5.2,5.0,2024-08-14 05:00:00+00:00
1,5.4,5.0,2024-08-14 06:00:00+00:00
2,5.3,5.2,2024-08-14 07:00:00+00:00
3,5.4,5.3,2024-08-14 08:00:00+00:00
4,5.6,5.3,2024-08-14 09:00:00+00:00
5,6.0,5.5,2024-08-14 10:00:00+00:00
6,6.3,5.6,2024-08-14 11:00:00+00:00
7,6.0,5.6,2024-08-14 12:00:00+00:00
8,6.1,5.8,2024-08-14 13:00:00+00:00
9,6.2,5.8,2024-08-14 14:00:00+00:00
10,6.4,6.1,2024-08-14 15:00:00+00:00
11,6.7,6.5,2024-08-14 16:00:00+00:00
12,6.6,6.3,2024-08-14 17:00:00+00:00
13,6.6,6.2,2024-08-14 18:00:00+00:00
14,6.8,5.4,2024-08-14 19:00:00+00:00
15,7.4,5.6,2024-08-14 20:00:00+00:00
16,6.9,6.3,2024-08-14 21:00:00+00:00
17,6.9,7.0,2024-08-14 22:00:00+00:00
18,7.5,7.2,2024-08-14 23:00:00+00:00
19,7.5,7.1,2024-08-15 00:00:00+00:00
20,7.8,6.9,2024-08-15 01:00:00+00:00
21,7.3,6.8,2024-08-15 02:00:00+00:00
22,7.2,6.6,2024-08-15 03:00:00+00:00
23,6.9,6.6,2024-08-15 04:00:00+00:00
24,6.8,5.8,2024-08-15 05:00:00+00:00
25,7.2,5.3,2024-08-15 06:00:00+00:00
26,6.8,4.8,2024-08-15 07:00:00+00:00
27,6.3,4.4,2024-08-15 08:00:00+00:00
28,5.7,4.5,2024-08-15 09:00:00+00:00
29,4.8,4.6,2024-08-15 10:00:00+00:00
30,4.6,4.3,2024-08-15 11:00:00+00:00
31,4.4,3.7,2024-08-15 12:00:00+00:00
32,4.5,3.7,2024-08-15 13:00:00+00:00
33,4.5,4.0,2024-08-15 14:00:00+00:00
34,4.6,4.0,2024-08-15 15:00:00+00:00
35,5.0,3.8,2024-08-15 16:00:00+00:00
36,6.8,3.4,2024-08-15 17:00:00+00:00
37,6.9,3.4,2024-08-15 18:00:00+00:00
38,7.0,3.4,2024-08-15 19:00:00+00:00
39,7.1,3.5,2024-08-15 20:00:00+00:00
40,7.2,3.4,2024-08-15 21:00:00+00:00
41,7.5,3.4,2024-08-15 22:00:00+00:00
42,6.6,3.6,2024-08-15 23:00:00+00:00
43,4.8,3.5,2024-08-16 00:00:00+00:00
44,3.9,3.5,2024-08-16 01:00:00+00:00
45,4.2,3.2,2024-08-16 02:00:00+00:00
46,3.9,2.9,2024-08-16 03:00:00+00:00
47,3.3,2.2,2024-08-16 04:00:00+00:00
48,2.8,2.0,2024-08-16 05:00:00+00:00
49,2.3,1.9,2024-08-16 06:00:00+00:00
50,2.5,2.1,2024-08-16 07:00:00+00:00
51,2.6,2.2,2024-08-16 08:00:00+00:00
52,2.4,2.2,2024-08-16 09:00:00+00:00
53,2.6,2.2,2024-08-16 10:00:00+00:00
54,2.6,2.5,2024-08-16 11:00:00+00:00
55,3.0,2.3,2024-08-16 12:00:00+00:00
56,2.7,2.5,2024-08-16 13:00:00+00:00
57,3.3,3.0,2024-08-16 14:00:00+00:00
58,3.0,2.8,2024-08-16 15:00:00+00:00
59,2.6,2.8,2024-08-16 16:00:00+00:00
60,2.7,2.6,2024-08-16 17:00:00+00:00
61,2.7,2.3,2024-08-16 18:00:00+00:00
62,2.9,2.2,2024-08-16 19:00:00+00:00
63,3.0,2.5,2024-08-16 20:00:00+00:00
64,3.3,2.6,2024-08-16 21:00:00+00:00
65,3.4,2.9,2024-08-16 22:00:00+00:00
66,3.3,3.2,2024-08-16 23:00:00+00:00
67,3.4,2.9,2024-08-17 00:00:00+00:00
68,3.5,2.7,2024-08-17 01:00:00+00:00
69,3.6,4.2,2024-08-17 02:00:00+00:00
70,3.5,3.2,2024-08-17 03:00:00+00:00
71,3.5,3.6,2024-08-17 04:00:00+00:00
72,3.6,4.2,2024-08-17 05:00:00+00:00
73,4.5,4.3,2024-08-17 06:00:00+00:00
74,4.8,4.7,2024-08-17 07:00:00+00:00
75,5.0,4.8,2024-08-17 08:00:00+00:00
76,5.2,4.9,2024-08-17 09:00:00+00:00
77,5.6,4.9,2024-08-17 10:00:00+00:00
78,5.6,4.9,2024-08-17 11:00:00+00:00
79,5.6,5.1,2024-08-17 12:00:00+00:00
80,5.7,5.3,2024-08-17 13:00:00+00:00
81,5.9,5.5,2024-08-17 14:00:00+00:00
82,6.0,5.4,2024-08-17 15:00:00+00:00
83,6.0,5.7,2024-08-17 16:00:00+00:00
84,6.2,5.9,2024-08-17 17:00:00+00:00
85,6.5,6.3,2024-08-17 18:00:00+00:00
86,8.3,6.8,2024-08-17 19:00:00+00:00
87,9.2,7.8,2024-08-17 20:00:00+00:00
88,9.6,7.5,2024-08-17 21:00:00+00:00
89,10.2,7.8,2024-08-17 22:00:00+00:00
90,9.4,7.6,2024-08-17 23:00:00+00:00
91,8.3,9.5,2024-08-18 00:00:00+00:00
92,7.6,7.2,2024-08-18 01:00:00+00:00
93,8.8,6.0,2024-08-18 02:00:00+00:00
94,9.2,5.6,2024-08-18 03:00:00+00:00
95,9.8,5.5,2024-08-18 04:00:00+00:00
96,11.3,6.0,2024-08-18 05:00:00+00:00
97,13.5,7.3,2024-08-18 06:00:00+00:00
98,13.8,8.3,2024-08-18 07:00:00+00:00
99,11.5,8.4,2024-08-18 08:00:00+00:00
100,11.7,9.7,2024-08-18 09:00:00+00:00
101,11.3,9.2,2024-08-18 10:00:00+00:00
102,9.5,8.3,2024-08-18 11:00:00+00:00
103,7.5,6.6,2024-08-18 12:00:00+00:00
104,6.1,5.6,2024-08-18 13:00:00+00:00
105,7.0,5.5,2024-08-18 14:00:00+00:00
106,6.2,5.9,2024-08-18 15:00:00+00:00
107,5.5,6.3,2024-08-18 16:00:00+00:00
108,5.1,6.1,2024-08-18 17:00:00+00:00
109,4.8,5.2,2024-08-18 18:00:00+00:00
110,3.1,4.5,2024-08-18 19:00:00+00:00
111,3.2,3.8,2024-08-18 20:00:00+00:00
112,3.0,3.2,2024-08-18 21:00:00+00:00
113,2.8,2.8,2024-08-18 22:00:00+00:00
114,3.0,3.0,2024-08-18 23:00:00+00:00
115,2.8,3.1,2024-08-19 00:00:00+00:00
116,3.2,2.9,2024-08-19 01:00:00+00:00
117,3.3,2.9,2024-08-19 02:00:00+00:00
118,3.6,3.1,2024-08-19 03:00:00+00:00
119,4.3,3.5,2024-08-19 04:00:00+00:00
120,4.4,3.6,2024-08-19 05:00:00+00:00
121,4.7,3.6,2024-08-19 06:00:00+00:00
122,5.0,3.6,2024-08-19 07:00:00+00:00
123,5.2,3.6,2024-08-19 08:00:00+00:00
124,5.3,3.8,2024-08-19 09:00:00+00:00
125,5.2,3.9,2024-08-19 10:00:00+00:00
126,5.4,4.0,2024-08-19 11:00:00+00:00
127,5.8,3.9,2024-08-19 12:00:00+00:00
128,5.9,4.1,2024-08-19 13:00:00+00:00
129,5.3,4.2,2024-08-19 14:00:00+00:00
130,5.5,4.7,2024-08-19 15:00:00+00:00
131,5.2,5.0,2024-08-19 16:00:00+00:00
132,4.8,5.0,2024-08-19 17:00:00+00:00
133,4.6,4.9,2024-08-19 18:00:00+00:00
134,4.3,4.6,2024-08-19 19:00:00+00:00
135,4.4,4.4,2024-08-19 20:00:00+00:00
136,4.0,3.7,2024-08-19 21:00:00+00:00
137,3.6,3.6,2024-08-19 22:00:00+00:00
138,3.8,3.5,2024-08-19 23:00:00+00:00
139,3.9,3.4,2024-08-20 00:00:00+00:00
140,3.7,3.5,2024-08-20 01:00:00+00:00
141,4.0,3.8,2024-08-20 02:00:00+00:00
142,3.9,3.6,2024-08-20 03:00:00+00:00
143,4.3,4.0,2024-08-20 04:00:00+00:00
144,5.8,3.7,2024-08-20 05:00:00+00:00
145,5.4,3.9,2024-08-20 06:00:00+00:00
146,5.6,3.9,2024-08-20 07:00:00+00:00
147,5.4,3.8,2024-08-20 08:00:00+00:00
148,5.2,3.9,2024-08-20 09:00:00+00:00
