,time,temperature_2m,cloudcover,windspeed_10m,latitude,longitude,location
0,2024-10-31T00:00,9.2,98,10.1,45.5152,-122.6784,"(45.5152, -122.6784)"
1,2024-10-31T01:00,8.2,100,11.7,45.5152,-122.6784,"(45.5152, -122.6784)"
2,2024-10-31T02:00,7.7,99,5.5,45.5152,-122.6784,"(45.5152, -122.6784)"
3,2024-10-31T03:00,7.4,100,5.1,45.5152,-122.6784,"(45.5152, -122.6784)"
4,2024-10-31T04:00,7.5,100,5.5,45.5152,-122.6784,"(45.5152, -122.6784)"
5,2024-10-31T05:00,7.7,100,9.8,45.5152,-122.6784,"(45.5152, -122.6784)"
6,2024-10-31T06:00,7.1,83,5.8,45.5152,-122.6784,"(45.5152, -122.6784)"
7,2024-10-31T07:00,6.9,81,13.0,45.5152,-122.6784,"(45.5152, -122.6784)"
8,2024-10-31T08:00,6.7,46,13.3,45.5152,-122.6784,"(45.5152, -122.6784)"
9,2024-10-31T09:00,6.8,83,15.0,45.5152,-122.6784,"(45.5152, -122.6784)"
10,2024-10-31T10:00,6.3,100,14.3,45.5152,-122.6784,"(45.5152, -122.6784)"
11,2024-10-31T11:00,6.3,100,12.5,45.5152,-122.6784,"(45.5152, -122.6784)"
12,2024-10-31T12:00,6.2,86,13.4,45.5152,-122.6784,"(45.5152, -122.6784)"
13,2024-10-31T13:00,6.1,100,12.5,45.5152,-122.6784,"(45.5152, -122.6784)"
14,2024-10-31T14:00,5.9,100,9.1,45.5152,-122.6784,"(45.5152, -122.6784)"
15,2024-10-31T15:00,6.1,100,11.6,45.5152,-122.6784,"(45.5152, -122.6784)"
16,2024-10-31T16:00,6.5,55,12.1,45.5152,-122.6784,"(45.5152, -122.6784)"
17,2024-10-31T17:00,7.6,100,15.3,45.5152,-122.6784,"(45.5152, -122.6784)"
18,2024-10-31T18:00,8.1,100,15.8,45.5152,-122.6784,"(45.5152, -122.6784)"
