time,temperature_2m,cloudcover,windspeed_10m,latitude,longitude,location
2024-12-13T00:00,4.4,100,2.8,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T01:00,3.8,100,6.7,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T02:00,3.8,100,4.4,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T03:00,4.0,100,2.9,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T04:00,4.2,100,4.3,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T05:00,4.0,100,3.8,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T06:00,4.0,100,5.2,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T07:00,3.3,100,1.6,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T08:00,3.6,100,2.8,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T09:00,3.7,100,0.5,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T10:00,4.3,99,4.7,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T11:00,4.4,100,1.5,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T12:00,5.3,100,4.8,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T13:00,4.8,100,3.1,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T14:00,4.5,100,6.0,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T15:00,4.4,100,5.6,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T16:00,4.5,100,7.3,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T17:00,4.4,100,8.2,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T18:00,4.5,100,3.4,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T19:00,5.4,100,8.6,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T20:00,6.7,100,9.5,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T21:00,6.6,100,9.5,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T22:00,6.9,100,10.3,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-13T23:00,7.0,100,13.5,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-14T00:00,7.1,100,17.9,45.5152,-122.6784,"(45.5152, -122.6784)"
2024-12-14T01:00,6.9,100,19.8,45.5152,-122.6784,"(45.5152, -122.6784)"
